D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
20, myPSO, sphere, 9.152e-06, 5.689e-13, 5.747e-13, 242.58
20, myDE, sphere, 1.861e-03, 1.867e-04, 1.885e-04, 404.83
20, myFA, sphere, 8.873e-06, 8.339e-13, 8.423e-13, 788.12
20, myPSO, rastrigin, 3.148e+01, 1.127e+02, 1.138e+02, 1000.00
20, myDE, rastrigin, 2.706e+01, 3.034e+02, 3.065e+02, 1000.00
20, myFA, rastrigin, 3.902e+01, 1.262e+02, 1.275e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.854e-06, 7.716e-12, 7.794e-12, 30.85
2, myDE, sphere, 4.856e-06, 8.653e-12, 8.741e-12, 22.34
2, myFA, sphere, 5.030e-06, 8.805e-12, 8.894e-12, 237.83
2, myPSO, rastrigin, 4.987e-06, 9.981e-12, 1.008e-11, 69.60
2, myDE, rastrigin, 4.465e-06, 8.501e-12, 8.587e-12, 57.27
2, myFA, rastrigin, 1.028e-01, 4.156e-02, 4.198e-02, 784.31
5, myPSO, sphere, 7.016e-06, 4.084e-12, 4.126e-12, 70.14
5, myDE, sphere, 6.789e-06, 4.352e-12, 4.396e-12, 68.15
5, myFA, sphere, 7.097e-06, 4.300e-12, 4.344e-12, 557.60
5, myPSO, rastrigin, 8.557e-01, 1.030e+00, 1.040e+00, 687.62
5, myDE, rastrigin, 1.194e-01, 1.045e-01, 1.056e-01, 417.13
5, myFA, rastrigin, 4.916e+00, 6.608e+00, 6.675e+00, 1000.00
20, myPSO, sphere, 9.060e-06, 7.198e-13, 7.271e-13, 238.78
20, myDE, sphere, 4.548e-03, 1.109e-03, 1.120e-03, 364.38
20, myFA, sphere, 8.727e-06, 1.103e-12, 1.114e-12, 787.47
20, myPSO, rastrigin, 3.066e+01, 6.784e+01, 6.852e+01, 1000.00
20, myDE, rastrigin, 2.748e+01, 3.888e+02, 3.927e+02, 1000.00
20, myFA, rastrigin, 3.803e+01, 1.100e+02, 1.111e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.742e-06, 7.307e-12, 7.381e-12, 32.36
2, myDE, sphere, 4.692e-06, 8.313e-12, 8.397e-12, 22.09
2, myFA, sphere, 4.830e-06, 8.968e-12, 9.059e-12, 246.31
2, myPSO, rastrigin, 5.153e-06, 8.491e-12, 8.577e-12, 69.67
2, myDE, rastrigin, 4.547e-06, 8.931e-12, 9.021e-12, 57.38
2, myFA, rastrigin, 9.647e-02, 3.327e-02, 3.360e-02, 791.85
5, myPSO, sphere, 6.846e-06, 5.030e-12, 5.080e-12, 71.33
5, myDE, sphere, 6.647e-06, 4.458e-12, 4.503e-12, 67.71
5, myFA, sphere, 7.013e-06, 5.245e-12, 5.298e-12, 549.75
5, myPSO, rastrigin, 8.359e-01, 8.258e-01, 8.342e-01, 704.49
5, myDE, rastrigin, 1.294e-01, 1.120e-01, 1.131e-01, 435.61
5, myFA, rastrigin, 4.991e+00, 8.136e+00, 8.218e+00, 1000.00
20, myPSO, sphere, 9.138e-06, 6.301e-13, 6.365e-13, 239.05
20, myDE, sphere, 6.096e-05, 1.155e-07, 1.167e-07, 373.63
20, myFA, sphere, 8.758e-06, 1.056e-12, 1.067e-12, 784.05
20, myPSO, rastrigin, 3.183e+01, 1.107e+02, 1.118e+02, 1000.00
20, myDE, rastrigin, 2.670e+01, 2.783e+02, 2.811e+02, 1000.00
20, myFA, rastrigin, 3.791e+01, 1.480e+02, 1.495e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.675e-06, 8.636e-12, 8.724e-12, 30.47
2, myDE, sphere, 4.650e-06, 8.447e-12, 8.532e-12, 22.21
2, myFA, sphere, 5.338e-06, 7.841e-12, 7.920e-12, 235.13
2, myPSO, rastrigin, 5.284e-06, 7.384e-12, 7.459e-12, 70.94
2, myDE, rastrigin, 4.800e-06, 8.238e-12, 8.322e-12, 57.75
2, myFA, rastrigin, 1.342e-01, 6.045e-02, 6.106e-02, 815.88
5, myPSO, sphere, 6.987e-06, 4.587e-12, 4.633e-12, 70.38
5, myDE, sphere, 7.116e-06, 3.782e-12, 3.820e-12, 67.56
5, myFA, sphere, 6.787e-06, 4.669e-12, 4.716e-12, 557.00
5, myPSO, rastrigin, 1.075e+00, 1.003e+00, 1.014e+00, 778.10
5, myDE, rastrigin, 7.966e-02, 9.265e-02, 9.358e-02, 399.59
5, myFA, rastrigin, 5.341e+00, 7.073e+00, 7.144e+00, 998.48
20, myPSO, sphere, 9.065e-06, 7.977e-13, 8.058e-13, 241.75
20, myDE, sphere, 1.802e-04, 1.608e-06, 1.624e-06, 376.30
20, myFA, sphere, 8.889e-06, 8.563e-13, 8.650e-13, 783.09
20, myPSO, rastrigin, 3.156e+01, 8.921e+01, 9.012e+01, 1000.00
20, myDE, rastrigin, 2.880e+01, 2.744e+02, 2.772e+02, 1000.00
20, myFA, rastrigin, 3.980e+01, 1.324e+02, 1.337e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.924e-06, 9.618e-12, 9.715e-12, 32.23
2, myDE, sphere, 4.865e-06, 8.753e-12, 8.842e-12, 21.99
2, myFA, sphere, 4.495e-06, 8.384e-12, 8.469e-12, 243.15
2, myPSO, rastrigin, 4.899e-06, 1.030e-11, 1.041e-11, 71.90
2, myDE, rastrigin, 3.699e-06, 6.767e-12, 6.835e-12, 58.72
2, myFA, rastrigin, 1.029e-01, 2.848e-02, 2.877e-02, 818.26
5, myPSO, sphere, 7.207e-06, 4.704e-12, 4.752e-12, 70.07
5, myDE, sphere, 7.146e-06, 4.065e-12, 4.106e-12, 67.02
5, myFA, sphere, 6.850e-06, 4.523e-12, 4.569e-12, 558.40
5, myPSO, rastrigin, 8.855e-01, 8.691e-01, 8.778e-01, 741.60
5, myDE, rastrigin, 1.294e-01, 1.318e-01, 1.331e-01, 425.17
5, myFA, rastrigin, 4.989e+00, 9.936e+00, 1.004e+01, 1000.00
20, myPSO, sphere, 9.142e-06, 4.970e-13, 5.021e-13, 237.02
20, myDE, sphere, 3.219e-04, 4.774e-06, 4.822e-06, 373.67
20, myFA, sphere, 8.939e-06, 8.932e-13, 9.022e-13, 783.78
20, myPSO, rastrigin, 3.289e+01, 8.689e+01, 8.777e+01, 1000.00
20, myDE, rastrigin, 3.080e+01, 4.691e+02, 4.739e+02, 1000.00
20, myFA, rastrigin, 3.756e+01, 1.198e+02, 1.210e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.027e-06, 7.682e-12, 7.760e-12, 33.21
2, myDE, sphere, 4.715e-06, 8.365e-12, 8.450e-12, 21.82
2, myFA, sphere, 5.029e-06, 6.853e-12, 6.923e-12, 251.89
2, myPSO, rastrigin, 5.338e-06, 9.124e-12, 9.216e-12, 65.16
2, myDE, rastrigin, 4.617e-06, 9.140e-12, 9.233e-12, 59.00
2, myFA, rastrigin, 1.147e-01, 4.677e-02, 4.725e-02, 815.26
5, myPSO, sphere, 6.991e-06, 4.791e-12, 4.839e-12, 69.77
5, myDE, sphere, 6.590e-06, 5.055e-12, 5.106e-12, 67.89
5, myFA, sphere, 7.104e-06, 4.451e-12, 4.495e-12, 555.50
5, myPSO, rastrigin, 1.085e+00, 1.526e+00, 1.542e+00, 774.63
5, myDE, rastrigin, 8.958e-02, 8.107e-02, 8.189e-02, 409.74
5, myFA, rastrigin, 4.895e+00, 7.840e+00, 7.919e+00, 1000.00
20, myPSO, sphere, 8.984e-06, 6.208e-13, 6.271e-13, 243.43
20, myDE, sphere, 1.949e-04, 1.804e-06, 1.823e-06, 402.53
20, myFA, sphere, 8.868e-06, 1.052e-12, 1.062e-12, 788.50
20, myPSO, rastrigin, 3.181e+01, 1.149e+02, 1.161e+02, 1000.00
20, myDE, rastrigin, 2.790e+01, 3.851e+02, 3.890e+02, 1000.00
20, myFA, rastrigin, 3.942e+01, 1.423e+02, 1.437e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.940e-06, 6.530e-12, 6.596e-12, 32.54
2, myDE, sphere, 4.389e-06, 8.766e-12, 8.854e-12, 22.67
2, myFA, sphere, 4.677e-06, 7.995e-12, 8.076e-12, 238.88
2, myPSO, rastrigin, 5.004e-06, 8.253e-12, 8.336e-12, 69.10
2, myDE, rastrigin, 4.668e-06, 8.824e-12, 8.913e-12, 58.49
2, myFA, rastrigin, 1.207e-01, 5.183e-02, 5.235e-02, 789.89
5, myPSO, sphere, 6.875e-06, 5.660e-12, 5.717e-12, 70.00
5, myDE, sphere, 6.920e-06, 5.457e-12, 5.512e-12, 67.88
5, myFA, sphere, 6.849e-06, 5.712e-12, 5.770e-12, 553.18
5, myPSO, rastrigin, 9.850e-01, 9.007e-01, 9.098e-01, 768.28
5, myDE, rastrigin, 1.111e-01, 9.682e-02, 9.780e-02, 419.68
5, myFA, rastrigin, 5.300e+00, 8.465e+00, 8.550e+00, 998.58
20, myPSO, sphere, 8.935e-06, 1.023e-12, 1.033e-12, 237.40
20, myDE, sphere, 1.478e-04, 5.050e-07, 5.101e-07, 383.64
20, myFA, sphere, 8.807e-06, 9.002e-13, 9.093e-13, 785.02
20, myPSO, rastrigin, 3.225e+01, 9.878e+01, 9.978e+01, 1000.00
20, myDE, rastrigin, 2.781e+01, 3.705e+02, 3.743e+02, 1000.00
20, myFA, rastrigin, 3.792e+01, 1.525e+02, 1.540e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.631e-06, 8.244e-12, 8.327e-12, 32.74
2, myDE, sphere, 4.581e-06, 7.361e-12, 7.436e-12, 22.27
2, myFA, sphere, 5.592e-06, 7.215e-12, 7.288e-12, 233.20
2, myPSO, rastrigin, 5.035e-06, 8.499e-12, 8.584e-12, 68.87
2, myDE, rastrigin, 4.621e-06, 8.679e-12, 8.767e-12, 56.92
2, myFA, rastrigin, 1.533e-01, 6.674e-02, 6.741e-02, 813.16
5, myPSO, sphere, 7.289e-06, 4.400e-12, 4.444e-12, 71.59
5, myDE, sphere, 6.406e-06, 5.527e-12, 5.583e-12, 67.78
5, myFA, sphere, 7.001e-06, 5.235e-12, 5.288e-12, 557.86
5, myPSO, rastrigin, 1.005e+00, 7.622e-01, 7.699e-01, 793.48
5, myDE, rastrigin, 1.194e-01, 1.243e-01, 1.256e-01, 406.28
5, myFA, rastrigin, 5.232e+00, 8.253e+00, 8.336e+00, 1000.00
20, myPSO, sphere, 8.938e-06, 1.351e-12, 1.364e-12, 239.44
20, myDE, sphere, 3.813e-05, 2.758e-08, 2.786e-08, 401.55
20, myFA, sphere, 8.914e-06, 9.919e-13, 1.002e-12, 785.74
20, myPSO, rastrigin, 3.286e+01, 1.118e+02, 1.129e+02, 1000.00
20, myDE, rastrigin, 2.716e+01, 3.020e+02, 3.050e+02, 1000.00
20, myFA, rastrigin, 3.780e+01, 9.508e+01, 9.604e+01, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.833e-06, 8.350e-12, 8.435e-12, 32.20
2, myDE, sphere, 4.767e-06, 7.557e-12, 7.633e-12, 22.62
2, myFA, sphere, 5.380e-06, 8.012e-12, 8.093e-12, 230.12
2, myPSO, rastrigin, 4.486e-06, 7.166e-12, 7.239e-12, 68.31
2, myDE, rastrigin, 4.811e-06, 7.251e-12, 7.324e-12, 57.57
2, myFA, rastrigin, 1.330e-01, 5.583e-02, 5.640e-02, 798.04
5, myPSO, sphere, 7.300e-06, 3.984e-12, 4.025e-12, 69.86
5, myDE, sphere, 6.760e-06, 4.504e-12, 4.549e-12, 68.33
5, myFA, sphere, 6.711e-06, 5.445e-12, 5.500e-12, 558.84
5, myPSO, rastrigin, 9.452e-01, 7.994e-01, 8.074e-01, 792.61
5, myDE, rastrigin, 9.950e-02, 1.089e-01, 1.100e-01, 407.62
5, myFA, rastrigin, 5.415e+00, 8.399e+00, 8.484e+00, 998.72
20, myPSO, sphere, 8.971e-06, 8.507e-13, 8.593e-13, 243.79
20, myDE, sphere, 2.647e-02, 6.930e-02, 7.000e-02, 381.92
20, myFA, sphere, 8.838e-06, 1.304e-12, 1.317e-12, 785.82
20, myPSO, rastrigin, 3.282e+01, 1.201e+02, 1.213e+02, 1000.00
20, myDE, rastrigin, 2.679e+01, 2.884e+02, 2.914e+02, 1000.00
20, myFA, rastrigin, 3.888e+01, 1.100e+02, 1.111e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.822e-06, 8.702e-12, 8.789e-12, 30.49
2, myDE, sphere, 4.341e-06, 9.017e-12, 9.108e-12, 21.84
2, myFA, sphere, 4.791e-06, 8.774e-12, 8.863e-12, 245.10
2, myPSO, rastrigin, 4.714e-06, 9.593e-12, 9.690e-12, 73.64
2, myDE, rastrigin, 4.697e-06, 8.638e-12, 8.726e-12, 57.97
2, myFA, rastrigin, 1.239e-01, 5.819e-02, 5.878e-02, 799.12
5, myPSO, sphere, 7.004e-06, 5.608e-12, 5.664e-12, 69.75
5, myDE, sphere, 6.431e-06, 5.533e-12, 5.589e-12, 67.38
5, myFA, sphere, 7.006e-06, 4.770e-12, 4.818e-12, 557.94
5, myPSO, rastrigin, 9.850e-01, 8.017e-01, 8.098e-01, 780.56
5, myDE, rastrigin, 1.095e-01, 1.167e-01, 1.179e-01, 417.51
5, myFA, rastrigin, 4.532e+00, 6.851e+00, 6.920e+00, 998.48
20, myPSO, sphere, 9.012e-06, 5.598e-13, 5.655e-13, 243.48
20, myDE, sphere, 1.441e-03, 8.498e-05, 8.584e-05, 397.42
20, myFA, sphere, 8.789e-06, 8.327e-13, 8.412e-13, 785.15
20, myPSO, rastrigin, 3.038e+01, 5.950e+01, 6.010e+01, 1000.00
20, myDE, rastrigin, 2.587e+01, 2.462e+02, 2.487e+02, 1000.00
20, myFA, rastrigin, 3.904e+01, 1.624e+02, 1.641e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.220e-06, 7.889e-12, 7.968e-12, 31.94
2, myDE, sphere, 4.720e-06, 7.810e-12, 7.889e-12, 22.10
2, myFA, sphere, 4.929e-06, 8.243e-12, 8.326e-12, 246.33
2, myPSO, rastrigin, 5.178e-06, 9.648e-12, 9.746e-12, 69.11
2, myDE, rastrigin, 4.327e-06, 7.073e-12, 7.144e-12, 57.08
2, myFA, rastrigin, 1.190e-01, 4.793e-02, 4.842e-02, 831.42
5, myPSO, sphere, 7.130e-06, 4.016e-12, 4.057e-12, 70.82
5, myDE, sphere, 6.972e-06, 4.395e-12, 4.440e-12, 67.91
5, myFA, sphere, 7.070e-06, 4.693e-12, 4.740e-12, 557.05
5, myPSO, rastrigin, 1.114e+00, 1.253e+00, 1.266e+00, 769.04
5, myDE, rastrigin, 1.592e-01, 1.528e-01, 1.544e-01, 438.82
5, myFA, rastrigin, 4.785e+00, 8.452e+00, 8.537e+00, 1000.00
20, myPSO, sphere, 9.082e-06, 6.976e-13, 7.046e-13, 239.30
20, myDE, sphere, 1.325e-03, 6.326e-05, 6.390e-05, 390.63
20, myFA, sphere, 8.806e-06, 9.788e-13, 9.887e-13, 784.82
20, myPSO, rastrigin, 3.162e+01, 9.346e+01, 9.441e+01, 1000.00
20, myDE, rastrigin, 3.095e+01, 4.366e+02, 4.411e+02, 1000.00
20, myFA, rastrigin, 3.934e+01, 1.471e+02, 1.486e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.612e-06, 7.760e-12, 7.838e-12, 30.78
2, myDE, sphere, 5.062e-06, 8.348e-12, 8.432e-12, 22.01
2, myFA, sphere, 5.081e-06, 8.544e-12, 8.631e-12, 238.51
2, myPSO, rastrigin, 5.088e-06, 7.523e-12, 7.599e-12, 68.84
2, myDE, rastrigin, 4.464e-06, 8.389e-12, 8.474e-12, 57.21
2, myFA, rastrigin, 1.149e-01, 4.106e-02, 4.148e-02, 824.81
5, myPSO, sphere, 7.077e-06, 6.051e-12, 6.112e-12, 69.75
5, myDE, sphere, 6.467e-06, 5.389e-12, 5.443e-12, 67.35
5, myFA, sphere, 7.096e-06, 4.605e-12, 4.652e-12, 556.45
5, myPSO, rastrigin, 9.318e-01, 1.086e+00, 1.097e+00, 762.00
5, myDE, rastrigin, 1.304e-01, 1.138e-01, 1.150e-01, 428.15
5, myFA, rastrigin, 4.456e+00, 6.592e+00, 6.658e+00, 998.79
20, myPSO, sphere, 9.007e-06, 7.431e-13, 7.506e-13, 240.73
20, myDE, sphere, 3.886e-04, 1.120e-05, 1.131e-05, 384.37
20, myFA, sphere, 8.741e-06, 8.926e-13, 9.017e-13, 785.72
20, myPSO, rastrigin, 3.275e+01, 9.269e+01, 9.363e+01, 1000.00
20, myDE, rastrigin, 2.786e+01, 3.033e+02, 3.063e+02, 1000.00
20, myFA, rastrigin, 3.867e+01, 1.303e+02, 1.316e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.985e-06, 7.294e-12, 7.367e-12, 31.83
2, myDE, sphere, 4.702e-06, 9.277e-12, 9.371e-12, 21.82
2, myFA, sphere, 5.118e-06, 7.608e-12, 7.684e-12, 235.30
2, myPSO, rastrigin, 9.954e-03, 9.800e-03, 9.899e-03, 78.72
2, myDE, rastrigin, 5.064e-06, 7.069e-12, 7.141e-12, 57.81
2, myFA, rastrigin, 8.253e-02, 2.170e-02, 2.192e-02, 783.60
5, myPSO, sphere, 7.618e-06, 4.097e-12, 4.138e-12, 69.54
5, myDE, sphere, 6.806e-06, 4.327e-12, 4.370e-12, 67.56
5, myFA, sphere, 6.989e-06, 4.967e-12, 5.017e-12, 556.27
5, myPSO, rastrigin, 9.353e-01, 1.204e+00, 1.216e+00, 717.59
5, myDE, rastrigin, 1.095e-01, 1.167e-01, 1.179e-01, 406.85
5, myFA, rastrigin, 5.036e+00, 7.378e+00, 7.453e+00, 1000.00
20, myPSO, sphere, 9.021e-06, 6.102e-13, 6.164e-13, 239.38
20, myDE, sphere, 2.465e-04, 1.742e-06, 1.759e-06, 381.35
20, myFA, sphere, 8.815e-06, 1.182e-12, 1.194e-12, 783.06
20, myPSO, rastrigin, 3.103e+01, 9.307e+01, 9.401e+01, 1000.00
20, myDE, rastrigin, 2.574e+01, 3.703e+02, 3.740e+02, 1000.00
20, myFA, rastrigin, 4.110e+01, 1.850e+02, 1.869e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.815e-06, 7.790e-12, 7.869e-12, 32.33
2, myDE, sphere, 4.797e-06, 8.737e-12, 8.826e-12, 22.02
2, myFA, sphere, 4.614e-06, 8.387e-12, 8.471e-12, 229.52
2, myPSO, rastrigin, 5.119e-06, 7.448e-12, 7.523e-12, 68.18
2, myDE, rastrigin, 4.602e-06, 9.170e-12, 9.262e-12, 57.45
2, myFA, rastrigin, 1.058e-01, 3.816e-02, 3.854e-02, 777.67
5, myPSO, sphere, 7.221e-06, 4.061e-12, 4.102e-12, 69.82
5, myDE, sphere, 6.809e-06, 5.591e-12, 5.647e-12, 67.18
5, myFA, sphere, 6.537e-06, 5.409e-12, 5.464e-12, 555.82
5, myPSO, rastrigin, 9.950e-01, 1.287e+00, 1.300e+00, 718.67
5, myDE, rastrigin, 1.095e-01, 9.691e-02, 9.789e-02, 410.77
5, myFA, rastrigin, 4.891e+00, 6.712e+00, 6.780e+00, 1000.00
20, myPSO, sphere, 8.940e-06, 9.876e-13, 9.976e-13, 239.40
20, myDE, sphere, 7.381e-04, 2.050e-05, 2.070e-05, 398.20
20, myFA, sphere, 8.819e-06, 9.149e-13, 9.242e-13, 788.35
20, myPSO, rastrigin, 3.088e+01, 1.148e+02, 1.159e+02, 1000.00
20, myDE, rastrigin, 2.778e+01, 4.705e+02, 4.752e+02, 1000.00
20, myFA, rastrigin, 3.994e+01, 1.072e+02, 1.083e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.268e-06, 9.863e-12, 9.962e-12, 31.74
2, myDE, sphere, 4.541e-06, 8.626e-12, 8.713e-12, 22.37
2, myFA, sphere, 4.546e-06, 7.458e-12, 7.533e-12, 242.97
2, myPSO, rastrigin, 4.999e-06, 7.243e-12, 7.316e-12, 68.67
2, myDE, rastrigin, 4.061e-06, 7.174e-12, 7.246e-12, 58.10
2, myFA, rastrigin, 1.392e-01, 6.819e-02, 6.888e-02, 815.85
5, myPSO, sphere, 7.136e-06, 4.091e-12, 4.132e-12, 70.77
5, myDE, sphere, 7.214e-06, 4.730e-12, 4.777e-12, 67.55
5, myFA, sphere, 7.278e-06, 4.270e-12, 4.313e-12, 554.20
5, myPSO, rastrigin, 7.263e-01, 5.119e-01, 5.171e-01, 691.29
5, myDE, rastrigin, 1.404e-01, 1.388e-01, 1.402e-01, 421.25
5, myFA, rastrigin, 4.847e+00, 6.742e+00, 6.810e+00, 997.16
20, myPSO, sphere, 8.890e-06, 8.433e-13, 8.518e-13, 240.45
20, myDE, sphere, 1.676e-04, 1.601e-06, 1.617e-06, 375.27
20, myFA, sphere, 8.888e-06, 9.897e-13, 9.997e-13, 785.44
20, myPSO, rastrigin, 3.366e+01, 1.199e+02, 1.211e+02, 1000.00
20, myDE, rastrigin, 3.081e+01, 4.494e+02, 4.540e+02, 1000.00
20, myFA, rastrigin, 3.902e+01, 1.106e+02, 1.117e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.833e-06, 8.819e-12, 8.908e-12, 31.71
2, myDE, sphere, 4.559e-06, 8.534e-12, 8.620e-12, 21.97
2, myFA, sphere, 4.843e-06, 7.880e-12, 7.959e-12, 247.24
2, myPSO, rastrigin, 4.880e-06, 8.552e-12, 8.638e-12, 70.24
2, myDE, rastrigin, 4.734e-06, 9.083e-12, 9.175e-12, 57.74
2, myFA, rastrigin, 1.784e-01, 8.649e-02, 8.736e-02, 806.99
5, myPSO, sphere, 7.003e-06, 3.211e-12, 3.244e-12, 68.18
5, myDE, sphere, 6.915e-06, 5.385e-12, 5.439e-12, 67.68
5, myFA, sphere, 7.222e-06, 4.334e-12, 4.378e-12, 555.36
5, myPSO, rastrigin, 1.184e+00, 1.043e+00, 1.054e+00, 782.02
5, myDE, rastrigin, 1.294e-01, 1.119e-01, 1.131e-01, 449.52
5, myFA, rastrigin, 5.082e+00, 6.913e+00, 6.983e+00, 1000.00
20, myPSO, sphere, 9.027e-06, 9.433e-13, 9.528e-13, 241.13
20, myDE, sphere, 3.074e-03, 3.578e-04, 3.614e-04, 406.13
20, myFA, sphere, 8.987e-06, 6.817e-13, 6.886e-13, 786.98
20, myPSO, rastrigin, 3.162e+01, 1.054e+02, 1.065e+02, 1000.00
20, myDE, rastrigin, 2.375e+01, 2.856e+02, 2.885e+02, 1000.00
20, myFA, rastrigin, 3.865e+01, 1.473e+02, 1.488e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.050e-06, 7.729e-12, 7.807e-12, 31.26
2, myDE, sphere, 5.296e-06, 8.996e-12, 9.087e-12, 21.86
2, myFA, sphere, 5.304e-06, 8.513e-12, 8.599e-12, 236.79
2, myPSO, rastrigin, 4.939e-06, 7.652e-12, 7.729e-12, 69.33
2, myDE, rastrigin, 4.790e-06, 8.536e-12, 8.622e-12, 57.10
2, myFA, rastrigin, 1.703e-01, 8.046e-02, 8.127e-02, 822.55
5, myPSO, sphere, 7.025e-06, 4.449e-12, 4.494e-12, 70.87
5, myDE, sphere, 6.734e-06, 4.904e-12, 4.953e-12, 67.78
5, myFA, sphere, 6.675e-06, 5.760e-12, 5.818e-12, 559.21
5, myPSO, rastrigin, 9.651e-01, 1.019e+00, 1.029e+00, 741.65
5, myDE, rastrigin, 1.194e-01, 1.045e-01, 1.056e-01, 423.32
5, myFA, rastrigin, 5.309e+00, 9.545e+00, 9.641e+00, 1000.00
20, myPSO, sphere, 9.129e-06, 4.037e-13, 4.078e-13, 239.86
20, myDE, sphere, 4.605e-04, 1.292e-05, 1.305e-05, 374.60
20, myFA, sphere, 9.003e-06, 7.190e-13, 7.263e-13, 785.79
20, myPSO, rastrigin, 3.136e+01, 1.012e+02, 1.023e+02, 1000.00
20, myDE, rastrigin, 3.290e+01, 4.472e+02, 4.517e+02, 1000.00
20, myFA, rastrigin, 3.865e+01, 9.459e+01, 9.554e+01, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.636e-06, 7.167e-12, 7.239e-12, 31.85
2, myDE, sphere, 4.821e-06, 7.560e-12, 7.636e-12, 22.47
2, myFA, sphere, 5.077e-06, 9.143e-12, 9.235e-12, 233.37
2, myPSO, rastrigin, 4.841e-06, 8.313e-12, 8.397e-12, 73.18
2, myDE, rastrigin, 4.843e-06, 8.580e-12, 8.666e-12, 56.98
2, myFA, rastrigin, 8.161e-02, 2.606e-02, 2.632e-02, 805.90
5, myPSO, sphere, 6.847e-06, 5.045e-12, 5.096e-12, 70.75
5, myDE, sphere, 6.981e-06, 4.468e-12, 4.513e-12, 67.62
5, myFA, sphere, 6.961e-06, 4.257e-12, 4.300e-12, 553.31
5, myPSO, rastrigin, 9.552e-01, 1.048e+00, 1.058e+00, 766.61
5, myDE, rastrigin, 1.195e-01, 1.045e-01, 1.056e-01, 426.53
5, myFA, rastrigin, 4.997e+00, 7.759e+00, 7.837e+00, 1000.00
20, myPSO, sphere, 8.933e-06, 8.095e-13, 8.177e-13, 241.38
20, myDE, sphere, 7.915e-04, 1.097e-05, 1.108e-05, 388.34
20, myFA, sphere, 8.907e-06, 1.015e-12, 1.025e-12, 785.61
20, myPSO, rastrigin, 3.283e+01, 1.004e+02, 1.015e+02, 1000.00
20, myDE, rastrigin, 3.053e+01, 4.303e+02, 4.346e+02, 1000.00
20, myFA, rastrigin, 3.720e+01, 1.483e+02, 1.498e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.580e-06, 9.157e-12, 9.249e-12, 32.60
2, myDE, sphere, 4.972e-06, 9.516e-12, 9.612e-12, 21.92
2, myFA, sphere, 4.914e-06, 8.634e-12, 8.722e-12, 238.09
2, myPSO, rastrigin, 5.370e-06, 8.281e-12, 8.365e-12, 67.99
2, myDE, rastrigin, 4.459e-06, 8.957e-12, 9.048e-12, 57.95
2, myFA, rastrigin, 1.401e-01, 8.221e-02, 8.304e-02, 824.24
5, myPSO, sphere, 6.675e-06, 4.668e-12, 4.715e-12, 71.41
5, myDE, sphere, 6.632e-06, 4.357e-12, 4.401e-12, 66.99
5, myFA, sphere, 7.039e-06, 5.177e-12, 5.229e-12, 561.10
5, myPSO, rastrigin, 7.661e-01, 6.901e-01, 6.971e-01, 710.49
5, myDE, rastrigin, 1.592e-01, 1.528e-01, 1.544e-01, 446.90
5, myFA, rastrigin, 4.939e+00, 6.122e+00, 6.184e+00, 1000.00
20, myPSO, sphere, 9.174e-06, 4.859e-13, 4.908e-13, 237.22
20, myDE, sphere, 9.854e-04, 9.159e-05, 9.252e-05, 359.12
20, myFA, sphere, 9.062e-06, 5.797e-13, 5.855e-13, 784.34
20, myPSO, rastrigin, 3.223e+01, 1.094e+02, 1.105e+02, 1000.00
20, myDE, rastrigin, 2.850e+01, 5.020e+02, 5.070e+02, 1000.00
20, myFA, rastrigin, 3.680e+01, 1.338e+02, 1.352e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
