D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.332e-06, 7.583e-12, 7.659e-12, 32.02
2, myDE, sphere, 4.846e-06, 7.588e-12, 7.664e-12, 21.95
2, myFA, sphere, 5.038e-06, 9.163e-12, 9.256e-12, 250.63
2, myPSO, rastrigin, 4.602e-06, 7.434e-12, 7.509e-12, 69.57
2, myDE, rastrigin, 2.018e-04, 3.857e-06, 3.895e-06, 66.93
2, myFA, rastrigin, 1.295e-01, 5.227e-02, 5.280e-02, 818.11
5, myPSO, sphere, 7.024e-06, 4.949e-12, 4.999e-12, 70.26
5, myDE, sphere, 7.044e-06, 3.971e-12, 4.011e-12, 67.52
5, myFA, sphere, 7.084e-06, 5.427e-12, 5.481e-12, 555.53
5, myPSO, rastrigin, 9.851e-01, 8.809e-01, 8.898e-01, 786.63
5, myDE, rastrigin, 1.101e-01, 9.681e-02, 9.779e-02, 428.12
5, myFA, rastrigin, 4.419e+00, 6.625e+00, 6.692e+00, 998.48
20, myPSO, sphere, 9.052e-06, 7.227e-13, 7.300e-13, 236.66
20, myDE, sphere, 5.989e-04, 1.763e-05, 1.781e-05, 359.33
20, myFA, sphere, 8.919e-06, 8.513e-13, 8.599e-13, 788.04
20, myPSO, rastrigin, 3.309e+01, 1.016e+02, 1.026e+02, 1000.00
20, myDE, rastrigin, 2.759e+01, 4.377e+02, 4.421e+02, 1000.00
20, myFA, rastrigin, 3.821e+01, 1.333e+02, 1.347e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.927e-06, 8.614e-12, 8.701e-12, 31.31
2, myDE, sphere, 4.419e-06, 9.268e-12, 9.362e-12, 22.44
2, myFA, sphere, 4.860e-06, 8.348e-12, 8.433e-12, 246.16
2, myPSO, rastrigin, 4.919e-06, 7.157e-12, 7.230e-12, 69.90
2, myDE, rastrigin, 9.954e-03, 9.800e-03, 9.899e-03, 65.78
2, myFA, rastrigin, 1.139e-01, 4.126e-02, 4.168e-02, 818.49
5, myPSO, sphere, 7.200e-06, 4.990e-12, 5.040e-12, 70.29
5, myDE, sphere, 6.657e-06, 4.616e-12, 4.663e-12, 67.40
5, myFA, sphere, 6.980e-06, 4.819e-12, 4.868e-12, 555.63
5, myPSO, rastrigin, 1.204e+00, 1.154e+00, 1.166e+00, 792.95
5, myDE, rastrigin, 1.393e-01, 1.192e-01, 1.204e-01, 429.07
5, myFA, rastrigin, 5.173e+00, 6.773e+00, 6.841e+00, 998.72
20, myPSO, sphere, 9.038e-06, 7.331e-13, 7.405e-13, 239.42
20, myDE, sphere, 1.257e-03, 4.030e-05, 4.070e-05, 385.58
20, myFA, sphere, 8.966e-06, 8.272e-13, 8.355e-13, 785.75
20, myPSO, rastrigin, 3.424e+01, 1.285e+02, 1.298e+02, 1000.00
20, myDE, rastrigin, 2.738e+01, 3.263e+02, 3.296e+02, 1000.00
20, myFA, rastrigin, 3.793e+01, 1.020e+02, 1.030e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.767e-06, 7.800e-12, 7.879e-12, 32.47
2, myDE, sphere, 4.431e-06, 8.347e-12, 8.431e-12, 22.17
2, myFA, sphere, 4.649e-06, 7.737e-12, 7.815e-12, 246.26
2, myPSO, rastrigin, 4.937e-06, 6.701e-12, 6.769e-12, 69.10
2, myDE, rastrigin, 5.001e-06, 8.311e-12, 8.395e-12, 57.92
2, myFA, rastrigin, 1.029e-01, 4.142e-02, 4.184e-02, 784.02
5, myPSO, sphere, 7.091e-06, 4.987e-12, 5.038e-12, 70.58
5, myDE, sphere, 6.610e-06, 4.740e-12, 4.788e-12, 67.80
5, myFA, sphere, 6.876e-06, 5.291e-12, 5.344e-12, 558.56
5, myPSO, rastrigin, 1.164e+00, 1.070e+00, 1.081e+00, 831.53
5, myDE, rastrigin, 5.970e-02, 5.583e-02, 5.640e-02, 389.93
5, myFA, rastrigin, 4.793e+00, 7.919e+00, 7.999e+00, 996.38
20, myPSO, sphere, 8.990e-06, 7.557e-13, 7.633e-13, 241.34
20, myDE, sphere, 3.048e-05, 1.269e-08, 1.282e-08, 362.24
20, myFA, sphere, 8.807e-06, 9.245e-13, 9.339e-13, 783.06
20, myPSO, rastrigin, 3.183e+01, 9.869e+01, 9.968e+01, 1000.00
20, myDE, rastrigin, 2.925e+01, 4.526e+02, 4.571e+02, 1000.00
20, myFA, rastrigin, 3.898e+01, 1.062e+02, 1.073e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.441e-06, 8.911e-12, 9.001e-12, 32.07
2, myDE, sphere, 3.983e-06, 9.156e-12, 9.249e-12, 22.28
2, myFA, sphere, 4.844e-06, 8.144e-12, 8.227e-12, 247.59
2, myPSO, rastrigin, 4.875e-06, 9.936e-12, 1.004e-11, 71.07
2, myDE, rastrigin, 4.946e-06, 6.811e-12, 6.880e-12, 58.07
2, myFA, rastrigin, 1.291e-01, 5.672e-02, 5.729e-02, 791.76
5, myPSO, sphere, 7.186e-06, 4.075e-12, 4.116e-12, 71.09
5, myDE, sphere, 6.660e-06, 4.649e-12, 4.696e-12, 67.66
5, myFA, sphere, 6.859e-06, 5.523e-12, 5.579e-12, 557.16
5, myPSO, rastrigin, 1.124e+00, 1.260e+00, 1.273e+00, 837.67
5, myDE, rastrigin, 1.294e-01, 1.714e-01, 1.731e-01, 411.24
5, myFA, rastrigin, 4.648e+00, 6.959e+00, 7.030e+00, 998.66
20, myPSO, sphere, 8.930e-06, 6.960e-13, 7.030e-13, 237.79
20, myDE, sphere, 5.475e-04, 2.256e-05, 2.279e-05, 375.77
20, myFA, sphere, 8.967e-06, 8.217e-13, 8.300e-13, 782.87
20, myPSO, rastrigin, 3.170e+01, 8.717e+01, 8.805e+01, 1000.00
20, myDE, rastrigin, 3.003e+01, 4.947e+02, 4.997e+02, 1000.00
20, myFA, rastrigin, 3.797e+01, 1.318e+02, 1.332e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.288e-06, 6.995e-12, 7.065e-12, 31.65
2, myDE, sphere, 5.000e-06, 8.892e-12, 8.982e-12, 22.01
2, myFA, sphere, 5.167e-06, 8.718e-12, 8.806e-12, 232.30
2, myPSO, rastrigin, 5.001e-06, 7.886e-12, 7.966e-12, 68.90
2, myDE, rastrigin, 5.123e-06, 8.824e-12, 8.913e-12, 56.97
2, myFA, rastrigin, 1.408e-01, 3.726e-02, 3.764e-02, 846.41
5, myPSO, sphere, 6.704e-06, 5.275e-12, 5.328e-12, 70.59
5, myDE, sphere, 7.179e-06, 4.196e-12, 4.238e-12, 67.57
5, myFA, sphere, 7.035e-06, 4.280e-12, 4.323e-12, 558.75
5, myPSO, rastrigin, 1.065e+00, 1.134e+00, 1.145e+00, 816.41
5, myDE, rastrigin, 1.214e-01, 1.044e-01, 1.054e-01, 438.74
5, myFA, rastrigin, 4.267e+00, 6.283e+00, 6.347e+00, 996.74
20, myPSO, sphere, 9.146e-06, 5.966e-13, 6.027e-13, 241.06
20, myDE, sphere, 4.046e-03, 7.305e-04, 7.379e-04, 422.35
20, myFA, sphere, 8.863e-06, 9.368e-13, 9.463e-13, 787.24
20, myPSO, rastrigin, 3.386e+01, 1.422e+02, 1.436e+02, 1000.00
20, myDE, rastrigin, 2.646e+01, 3.815e+02, 3.853e+02, 1000.00
20, myFA, rastrigin, 3.844e+01, 1.222e+02, 1.234e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.943e-06, 7.601e-12, 7.677e-12, 31.72
2, myDE, sphere, 4.237e-06, 7.687e-12, 7.765e-12, 22.30
2, myFA, sphere, 4.637e-06, 7.925e-12, 8.005e-12, 232.09
2, myPSO, rastrigin, 9.955e-03, 9.800e-03, 9.899e-03, 79.34
2, myDE, rastrigin, 5.084e-06, 8.736e-12, 8.824e-12, 57.00
2, myFA, rastrigin, 9.146e-02, 2.633e-02, 2.660e-02, 812.89
5, myPSO, sphere, 7.123e-06, 5.413e-12, 5.468e-12, 70.49
5, myDE, sphere, 6.999e-06, 4.631e-12, 4.678e-12, 67.82
5, myFA, sphere, 6.903e-06, 4.547e-12, 4.593e-12, 557.27
5, myPSO, rastrigin, 9.054e-01, 5.958e-01, 6.019e-01, 792.44
5, myDE, rastrigin, 1.003e-01, 8.900e-02, 8.990e-02, 411.15
5, myFA, rastrigin, 4.620e+00, 5.416e+00, 5.470e+00, 998.39
20, myPSO, sphere, 9.087e-06, 6.054e-13, 6.115e-13, 237.98
20, myDE, sphere, 8.927e-04, 6.712e-05, 6.780e-05, 394.90
20, myFA, sphere, 8.975e-06, 6.658e-13, 6.726e-13, 787.36
20, myPSO, rastrigin, 3.057e+01, 1.068e+02, 1.079e+02, 1000.00
20, myDE, rastrigin, 2.738e+01, 3.713e+02, 3.751e+02, 1000.00
20, myFA, rastrigin, 3.930e+01, 1.002e+02, 1.012e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.880e-06, 1.069e-11, 1.080e-11, 32.79
2, myDE, sphere, 4.333e-06, 6.200e-12, 6.263e-12, 21.95
2, myFA, sphere, 4.834e-06, 8.301e-12, 8.385e-12, 248.31
2, myPSO, rastrigin, 1.990e-02, 1.940e-02, 1.960e-02, 88.05
2, myDE, rastrigin, 9.954e-03, 9.800e-03, 9.899e-03, 67.25
2, myFA, rastrigin, 1.178e-01, 4.121e-02, 4.163e-02, 830.45
5, myPSO, sphere, 6.977e-06, 5.005e-12, 5.055e-12, 70.51
5, myDE, sphere, 6.916e-06, 4.290e-12, 4.334e-12, 67.38
5, myFA, sphere, 7.010e-06, 5.070e-12, 5.121e-12, 552.08
5, myPSO, rastrigin, 1.015e+00, 8.509e-01, 8.595e-01, 745.91
5, myDE, rastrigin, 1.492e-01, 1.658e-01, 1.675e-01, 431.62
5, myFA, rastrigin, 4.771e+00, 6.347e+00, 6.411e+00, 1000.00
20, myPSO, sphere, 8.963e-06, 6.120e-13, 6.182e-13, 241.32
20, myDE, sphere, 2.649e-03, 3.051e-04, 3.082e-04, 394.36
20, myFA, sphere, 8.877e-06, 7.348e-13, 7.422e-13, 785.97
20, myPSO, rastrigin, 3.188e+01, 9.670e+01, 9.767e+01, 1000.00
20, myDE, rastrigin, 2.768e+01, 3.107e+02, 3.138e+02, 1000.00
20, myFA, rastrigin, 4.004e+01, 1.688e+02, 1.705e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.319e-06, 8.223e-12, 8.306e-12, 31.74
2, myDE, sphere, 4.862e-06, 7.449e-12, 7.524e-12, 21.89
2, myFA, sphere, 5.276e-06, 8.210e-12, 8.293e-12, 233.50
2, myPSO, rastrigin, 4.707e-06, 8.763e-12, 8.852e-12, 70.46
2, myDE, rastrigin, 5.369e-06, 7.785e-12, 7.864e-12, 57.71
2, myFA, rastrigin, 1.452e-01, 6.355e-02, 6.419e-02, 824.11
5, myPSO, sphere, 7.034e-06, 4.731e-12, 4.779e-12, 70.87
5, myDE, sphere, 7.051e-06, 4.511e-12, 4.557e-12, 67.26
5, myFA, sphere, 6.940e-06, 5.752e-12, 5.810e-12, 555.83
5, myPSO, rastrigin, 9.254e-01, 8.168e-01, 8.251e-01, 744.45
5, myDE, rastrigin, 1.107e-01, 9.679e-02, 9.777e-02, 434.64
5, myFA, rastrigin, 5.093e+00, 8.623e+00, 8.710e+00, 1000.00
20, myPSO, sphere, 8.901e-06, 1.034e-12, 1.044e-12, 237.78
20, myDE, sphere, 4.315e-04, 1.677e-05, 1.694e-05, 395.57
20, myFA, sphere, 8.906e-06, 8.415e-13, 8.500e-13, 784.28
20, myPSO, rastrigin, 3.255e+01, 1.168e+02, 1.179e+02, 1000.00
20, myDE, rastrigin, 2.858e+01, 3.230e+02, 3.263e+02, 1000.00
20, myFA, rastrigin, 3.959e+01, 1.333e+02, 1.346e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
